ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
1;NX;602953;7507427;396;3;3;624;463,1245117;813;6;1133;1054;0,129084095;0,248573303;175,09832;0,052643091;-1,211100221;262,3049622;4,796389103;2,991678238;379,8319092;83,29260254;0,955744147;0,005563235;-0,015917946
2;LVA;602886;7507438;335;3;3;740;436,4559021;1060;6;1385;1391;0,135046914;0,431391269;175,1285071;0,066635355;-0,430245996;669,21875;5,137736797;7,189754009;383,6514893;52,80441284;0,658784568;0,002174273;-0,001764235
3;LVA;602832;7507434;406;3;3;692;414,3095093;966;5;1258;1384;0,177872345;0,243522838;175,6308665;0,085306123;-3,039798975;2103,421387;6,899580956;4,419614792;386,8044128;27,50509644;0,375083506;0,001852872;-0,024834095
4;NX;602772;7507428;266;3;3;651;398,5115051;792;6;1419;1940;0,420204967;0,238735989;175,4974232;0,222710818;-5,454115391;7738,0625;8,222810745;5,591590405;391,0271912;7,484313965;0,115864232;0,000636952;-0,010722675
5;GX;602699;7507422;116;1;10;327;394,463501;250;4;817;1706;0,744376302;0,393187046;177,2636411;0,313973576;-1,516406298;677,9387817;5,254813194;6,434031963;390,0568237;4,406677246;0,073379941;-0,005531234;-0,006040481
6;CX;603895;7507489;483;1;7;801;387,3926086;1025;1;1517;1903;0,299863398;0,638419271;179,2662982;0,166120097;-1,087423563;220,2862091;3,548974752;9,125090599;375,5621033;11,83050537;0,274096638;-0,004831336;-0,007450463
7;PVA;603880;7507480;402;1;7;739;398,8027039;840;1;1398;1797;0,362912387;0,418269932;179,3127372;0,187966481;-0,599470079;132,207901;3,550945044;5,005813599;374,7064209;24,09628296;0,584500432;0,021970509;-0,010413074
8;CX;603866;7507455;226;1;7;473;403,5201111;581;3;953;1330;0,391941398;0,104361661;177,9088974;0,16256693;14,75533772;43,77126694;3,702766419;0,658954859;373,0681458;30,45196533;0,797368467;0,007178471;0,094672538
9;PA;603851;7507425;211;1;7;422;391,4887085;502;5;1014;1550;0,510721266;0,666127503;176,1734066;0,222915486;0,376709491;149,7611694;3,105640173;8,855323792;371,0853272;20,40338135;0,511326253;0,00468134;0,000250194
10;GX;603832;7507406;226;1;10;531;369,9943848;612;6;1198;1933;0,519056976;0,633503616;175,9764409;0,262624264;-3,695162535;480,5498657;4,339265823;10,57373142;368,6593323;1,33505249;0,031652719;-0,048202306;-0,032651279
11;RL;602278;7506274;380;4;8;682;425,0466919;977;0;1360;1549;0,226444975;0,418159455;173,8467312;0,114004783;5,162953377;114,1555557;3,404429197;4,859395981;370,5655823;54,48110962;0,972930491;-0,001378654;0,033038694
12;MT;602216;7506262;372;4;5;703;407,8677979;874;7;1355;1607;0,295445383;0,478726625;174,8061781;0,146972328;0,854232132;255,7044525;4,055648327;6,726949215;371,7017822;36,16601563;0,704360545;-0,003860242;0,007464262
13;MT;602177;7506293;417;4;5;707;389,1236877;937;6;1427;1666;0,280061454;0,287942797;175,0482378;0,143824831;-0,368486196;497,4085693;5,281982899;4,097380638;372,7400513;16,38363648;0,369385779;-0,002817557;-0,000356888
14;MT;602138;7506316;153;4;10;452;381,1816101;425;5;1042;2142;0,668874145;0,106551357;175,7247396;0,340359479;-3,742020845;3111,165283;8,13384819;1,649041176;374,1737366;7,007873535;0,179033846;-0,00288513;-0,028268268
15;LA;604434;7508416;296;1;11;569;471,6355896;632;7;1263;1822;0,484922588;0,265451163;174,1312709;0,239468738;-0,197388887;127,4239502;4,005723953;2,81496501;396,973938;74,66165161;0,997024655;0,002299529;-0,001577977
16;CX;604255;7508058;507;1;7;815;432,7276001;1105;6;1589;1812;0,242372304;0,405760586;174,9722919;0,13395226;-2,922768831;507,0370789;4,929246426;6,310582638;416,0169983;16,71060181;0,564254642;0,004598991;-0,016753975
17;LVA;603194;7508792;567;3;3;917;397,3817139;1112;0;1726;2079;0,303039789;0,229490817;173,8159866;0,17708461;0,720141709;316,1310425;5,066036701;2,804741144;371,7164612;25,66525269;0,686736643;-0,001555782;0,012035485
18;RY;603891;7508778;160;1;1;377;361,0718994;340;2;882;2103;0,7216537;0,127670094;177,561763;0,355300248;-0,276777446;463,8045654;6,048077107;1,424089432;360,9417725;0,130126953;0,002842269;-0,041127309;-0,086262561
