ID;CLASSE;X;Y;banda1;geologia;Solos;banda2;mde;banda3;Flow Direct;banda4;banda5;ndvi;Slope;Aspect;savi;Convergence;Catchment A;Topographic;LS Factor;Channel Net;Vertical Di;Relative Sl;Profile Cur;Plan Curvat
1;NX;602953;7507427;396;3;3;624;468,3006897;813;3;1133;1054;0,129084095;0,043234315;177,7085099;0,052643091;54,67129135;943,869751;5,512717724;0,25268808;368,4676514;99,83303833;1;0,005096188;0,041916866
2;LVA;602886;7507438;335;3;3;740;443,51651;1060;6;1385;1391;0,135046914;0,419029981;175,2197585;0,066635355;-3,744386435;3350,391113;4,982625485;6,682993412;370,4761963;73,04031372;0,773703694;-0,001399299;-0,004016817
3;LVA;602832;7507434;406;3;3;692;430,9247131;966;6;1258;1384;0,177872345;0,380300999;175,2467322;0,085306123;-5,070379257;5054,683106;5,848562717;6,902165413;371,236969;59,68774414;0,642849565;-0,000983517;-0,006013204
4;NX;602772;7507428;266;3;3;651;409,3398132;792;6;1419;1940;0,420204967;0,305232465;175,5530367;0,222710818;-9,566430092;14533,1377;6,796151638;6,044368267;372,8735962;36,46621704;0,405577779;-0,000910532;-0,01468576
5;GX;602699;7507422;116;1;10;327;391,6715088;250;5;817;1706;0,744376302;0,287558794;176,719101;0,313973576;-11,78817177;15199,48731;7,250843048;6,062674046;375,5925903;16,07891846;0,185701504;-0,003721718;-0,018302051
6;CX;603895;7507489;483;1;7;801;394,7297058;1025;0;1517;1903;0,299863398;0,179431915;173,7413726;0,166120097;10,76063061;6717,870117;6,923278332;2,819936752;367,6094666;27,12023926;0,368111193;0,003161572;-0,016584761
7;PVA;603880;7507480;402;1;7;739;399,0739136;840;5;1398;1797;0,362912387;0,046459802;174,9547362;0,187966481;9,527100563;1007,142517;5,57927227;0,285246223;367,5109558;31,56295776;0,427108079;0,001061677;0,182379946
8;CX;603866;7507455;226;1;7;473;399,0739136;581;5;953;1330;0,391941398;0,046459802;174,9547362;0,16256693;9,527100563;1007,142517;5,57927227;0,285246223;367,5109558;31,56295776;0,427108079;0,001061677;0,182379946
9;PA;603851;7507425;211;1;7;422;388,0911865;502;5;1014;1550;0,510721266;0,405976027;175,9161434;0,222915486;3,007380486;2814,014893;5,075772762;6,503261566;367,3111572;20,7800293;0,279809952;0,005211399;-0,008508976
10;GX;603832;7507406;226;1;10;531;380,8031921;612;6;1198;1933;0,519056976;0,457218915;175,6330366;0,262624264;-1,051681995;4219,474609;5,113795757;7,781377792;367,5631714;13,24002075;0,178369343;0,000461256;-0,010294265
